Ai,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$,$C_{11}$,$C_{12}$,$C_{13}$,$C_{14}$,$C_{15}$,$C_{16}$,$C_{17}$,$C_{18}$,$C_{19}$,$C_{20}$,$C_{21}$,Rank
$A_{402}$,514.0,1.0,0.7,0.0,4.0,0.0,57.0,0.1,186.0,3.0,7.0,168.0,1320.0,687.0,6.0,0.0,20.0,1.0,1.0,1.0,0.0,500
$A_{403}$,832.0,0.0,0.7,1.0,2.0,1.0,39.0,0.7,103.0,4.0,3.0,125.0,1504.0,1799.0,5.0,2.0,11.0,1.0,0.0,1.0,1.0,798
$A_{404}$,826.0,1.0,2.4,1.0,0.0,1.0,58.0,0.3,88.0,4.0,1.0,179.0,786.0,2863.0,9.0,3.0,18.0,1.0,0.0,1.0,2.0,252
$A_{405}$,794.0,1.0,0.5,1.0,0.0,1.0,2.0,0.8,106.0,6.0,14.0,1222.0,1890.0,668.0,13.0,4.0,19.0,1.0,1.0,0.0,0.0,170
$A_{406}$,854.0,0.0,0.5,0.0,2.0,0.0,30.0,0.5,125.0,8.0,5.0,518.0,1152.0,2889.0,5.0,2.0,11.0,0.0,0.0,1.0,2.0,1540
$A_{407}$,1610.0,1.0,2.9,0.0,7.0,1.0,64.0,0.9,181.0,4.0,12.0,1236.0,1280.0,941.0,8.0,4.0,9.0,1.0,1.0,0.0,1.0,397
$A_{408}$,1986.0,1.0,0.5,1.0,7.0,1.0,39.0,0.1,89.0,7.0,19.0,251.0,599.0,3476.0,11.0,8.0,17.0,1.0,1.0,0.0,3.0,110
$A_{409}$,804.0,1.0,0.8,1.0,12.0,1.0,41.0,0.9,89.0,1.0,13.0,709.0,818.0,2027.0,11.0,5.0,11.0,1.0,0.0,0.0,1.0,476
$A_{410}$,1113.0,0.0,0.6,1.0,0.0,0.0,25.0,0.3,145.0,1.0,10.0,1047.0,1312.0,277.0,11.0,2.0,12.0,1.0,0.0,1.0,0.0,1090
$A_{411}$,1826.0,1.0,0.5,1.0,5.0,1.0,49.0,0.6,172.0,8.0,6.0,973.0,1633.0,1612.0,17.0,9.0,17.0,1.0,1.0,0.0,2.0,126
$A_{412}$,1277.0,1.0,0.5,1.0,0.0,1.0,35.0,0.4,142.0,6.0,6.0,309.0,1460.0,3559.0,18.0,17.0,6.0,1.0,1.0,0.0,3.0,235
$A_{413}$,1130.0,1.0,0.5,1.0,1.0,1.0,29.0,0.7,130.0,1.0,14.0,593.0,1327.0,432.0,6.0,1.0,10.0,1.0,1.0,1.0,0.0,44
$A_{414}$,1753.0,0.0,0.5,1.0,0.0,1.0,31.0,0.1,134.0,1.0,18.0,1590.0,1926.0,1324.0,17.0,0.0,17.0,1.0,0.0,1.0,2.0,581
$A_{415}$,915.0,1.0,0.5,1.0,9.0,1.0,33.0,0.3,199.0,2.0,16.0,503.0,986.0,2156.0,7.0,3.0,13.0,1.0,1.0,0.0,1.0,152
$A_{416}$,1988.0,1.0,0.5,0.0,0.0,1.0,16.0,0.1,94.0,8.0,1.0,153.0,696.0,3144.0,16.0,2.0,14.0,1.0,0.0,0.0,3.0,1270
$A_{417}$,873.0,1.0,0.5,1.0,6.0,0.0,8.0,0.6,152.0,7.0,9.0,1257.0,1411.0,575.0,15.0,8.0,7.0,1.0,0.0,1.0,0.0,419
$A_{418}$,1628.0,1.0,1.8,1.0,11.0,0.0,56.0,0.1,136.0,2.0,13.0,500.0,1713.0,3358.0,17.0,11.0,12.0,1.0,1.0,1.0,3.0,63
$A_{419}$,1271.0,0.0,1.5,1.0,0.0,0.0,2.0,0.9,161.0,1.0,1.0,1260.0,1788.0,892.0,15.0,13.0,20.0,0.0,1.0,0.0,1.0,1289
$A_{420}$,1444.0,1.0,2.1,1.0,0.0,0.0,6.0,0.9,103.0,1.0,1.0,1274.0,1340.0,712.0,17.0,5.0,10.0,0.0,0.0,0.0,0.0,1294
$A_{421}$,1766.0,1.0,0.5,1.0,1.0,0.0,16.0,0.6,141.0,5.0,7.0,125.0,1227.0,3314.0,9.0,7.0,17.0,0.0,0.0,1.0,3.0,961
$A_{422}$,1744.0,1.0,1.0,0.0,1.0,1.0,20.0,0.5,112.0,8.0,3.0,68.0,718.0,1205.0,18.0,7.0,14.0,1.0,0.0,0.0,1.0,1093
$A_{423}$,1299.0,1.0,2.8,1.0,0.0,0.0,64.0,0.5,83.0,6.0,6.0,46.0,908.0,1938.0,19.0,8.0,5.0,1.0,0.0,1.0,1.0,484
$A_{424}$,912.0,0.0,0.5,1.0,0.0,0.0,58.0,0.3,107.0,5.0,1.0,165.0,1723.0,3573.0,17.0,3.0,20.0,1.0,1.0,0.0,3.0,1220
$A_{425}$,623.0,0.0,2.0,0.0,2.0,0.0,6.0,0.1,127.0,3.0,4.0,144.0,672.0,3657.0,17.0,3.0,19.0,1.0,1.0,0.0,2.0,1476
$A_{426}$,769.0,1.0,2.9,1.0,0.0,0.0,9.0,0.1,182.0,5.0,1.0,248.0,874.0,3946.0,5.0,2.0,7.0,0.0,0.0,0.0,3.0,1405
$A_{427}$,1441.0,0.0,0.6,1.0,0.0,1.0,53.0,0.5,106.0,1.0,12.0,254.0,954.0,1393.0,9.0,4.0,4.0,1.0,1.0,1.0,1.0,309
$A_{428}$,1489.0,0.0,2.1,1.0,0.0,0.0,9.0,0.4,169.0,3.0,1.0,923.0,1759.0,1663.0,9.0,3.0,14.0,1.0,0.0,1.0,1.0,1150
$A_{429}$,1839.0,1.0,1.2,0.0,9.0,1.0,54.0,0.5,200.0,7.0,11.0,475.0,1493.0,927.0,19.0,10.0,18.0,1.0,0.0,1.0,1.0,282
$A_{430}$,691.0,1.0,2.7,1.0,4.0,1.0,33.0,0.9,108.0,4.0,8.0,951.0,962.0,424.0,5.0,3.0,15.0,1.0,1.0,1.0,0.0,21
$A_{431}$,1423.0,0.0,0.6,0.0,12.0,0.0,44.0,0.8,131.0,5.0,13.0,501.0,640.0,2253.0,10.0,8.0,9.0,0.0,0.0,0.0,1.0,1560
$A_{432}$,1563.0,0.0,1.7,1.0,10.0,0.0,16.0,0.1,151.0,7.0,13.0,410.0,572.0,3922.0,11.0,1.0,8.0,0.0,0.0,1.0,3.0,1195
$A_{433}$,1092.0,0.0,2.7,1.0,8.0,0.0,45.0,0.8,185.0,1.0,10.0,1404.0,1424.0,1303.0,12.0,3.0,20.0,0.0,1.0,1.0,1.0,563
$A_{434}$,1620.0,1.0,2.2,1.0,0.0,1.0,30.0,0.2,185.0,3.0,3.0,832.0,1033.0,606.0,6.0,0.0,18.0,1.0,0.0,0.0,0.0,584
$A_{435}$,1428.0,1.0,1.6,0.0,0.0,0.0,7.0,0.1,153.0,4.0,2.0,584.0,983.0,1808.0,12.0,8.0,13.0,0.0,1.0,0.0,1.0,1254
$A_{436}$,525.0,0.0,2.4,1.0,11.0,0.0,35.0,0.8,190.0,7.0,20.0,82.0,670.0,1609.0,16.0,11.0,3.0,0.0,0.0,0.0,0.0,1341
$A_{437}$,1571.0,0.0,1.4,0.0,0.0,1.0,19.0,0.1,100.0,6.0,1.0,713.0,1398.0,666.0,12.0,10.0,13.0,1.0,1.0,0.0,0.0,957
$A_{438}$,563.0,0.0,2.0,1.0,3.0,0.0,47.0,0.3,115.0,7.0,12.0,211.0,684.0,3012.0,14.0,4.0,15.0,1.0,0.0,0.0,2.0,1389
$A_{439}$,1379.0,1.0,2.1,1.0,14.0,1.0,63.0,1.0,83.0,1.0,17.0,207.0,1370.0,651.0,9.0,6.0,7.0,1.0,1.0,0.0,0.0,66
$A_{440}$,1245.0,1.0,0.6,0.0,2.0,0.0,30.0,0.7,105.0,5.0,3.0,330.0,1434.0,2676.0,17.0,8.0,7.0,1.0,0.0,0.0,2.0,1486
$A_{441}$,1438.0,1.0,1.8,0.0,3.0,0.0,16.0,0.6,169.0,8.0,7.0,859.0,867.0,2246.0,14.0,11.0,15.0,0.0,0.0,0.0,2.0,1473
$A_{442}$,1861.0,1.0,0.9,0.0,4.0,1.0,55.0,0.5,148.0,7.0,8.0,1698.0,1877.0,601.0,7.0,5.0,4.0,1.0,0.0,0.0,1.0,910
$A_{443}$,1220.0,1.0,2.8,0.0,1.0,0.0,54.0,0.7,109.0,7.0,20.0,383.0,1249.0,1037.0,6.0,4.0,15.0,1.0,0.0,0.0,0.0,1267
$A_{444}$,642.0,0.0,2.8,0.0,3.0,0.0,34.0,0.8,197.0,2.0,15.0,331.0,1011.0,3355.0,12.0,5.0,13.0,0.0,0.0,0.0,2.0,1589
$A_{445}$,1624.0,1.0,2.6,1.0,0.0,0.0,58.0,1.0,200.0,3.0,11.0,1530.0,1744.0,1251.0,13.0,4.0,18.0,0.0,1.0,1.0,1.0,230
$A_{446}$,560.0,1.0,2.0,1.0,6.0,1.0,57.0,0.3,81.0,3.0,12.0,80.0,1327.0,2167.0,11.0,10.0,7.0,1.0,0.0,1.0,1.0,100
$A_{447}$,1987.0,1.0,0.5,0.0,3.0,1.0,53.0,1.0,181.0,3.0,7.0,1052.0,1516.0,3117.0,18.0,5.0,8.0,1.0,1.0,1.0,3.0,283
$A_{448}$,909.0,1.0,0.7,1.0,7.0,0.0,47.0,0.1,146.0,3.0,9.0,410.0,1643.0,1244.0,14.0,10.0,16.0,0.0,1.0,0.0,0.0,471
$A_{449}$,1562.0,0.0,0.5,1.0,1.0,1.0,20.0,0.8,172.0,8.0,10.0,678.0,1676.0,3465.0,16.0,11.0,6.0,1.0,1.0,0.0,3.0,736
$A_{450}$,1356.0,0.0,2.8,0.0,0.0,0.0,29.0,0.5,198.0,6.0,0.0,1612.0,1983.0,3702.0,17.0,0.0,19.0,0.0,0.0,0.0,3.0,1593
$A_{451}$,643.0,0.0,1.0,0.0,9.0,1.0,18.0,0.2,187.0,8.0,12.0,442.0,1079.0,2648.0,7.0,5.0,18.0,1.0,1.0,1.0,1.0,390
$A_{452}$,1413.0,1.0,0.5,1.0,4.0,1.0,45.0,0.4,104.0,5.0,6.0,1949.0,1994.0,2973.0,17.0,8.0,15.0,1.0,0.0,1.0,3.0,136
$A_{453}$,510.0,0.0,1.7,1.0,3.0,0.0,35.0,0.8,120.0,3.0,6.0,382.0,1228.0,2509.0,17.0,2.0,11.0,0.0,1.0,1.0,1.0,855
$A_{454}$,1397.0,0.0,2.9,1.0,13.0,0.0,9.0,0.5,87.0,6.0,18.0,1308.0,1991.0,3137.0,12.0,1.0,11.0,1.0,1.0,1.0,3.0,361
$A_{455}$,1039.0,0.0,1.3,0.0,0.0,1.0,12.0,0.8,200.0,8.0,0.0,1428.0,1827.0,1619.0,7.0,1.0,10.0,1.0,1.0,1.0,1.0,748
$A_{456}$,1823.0,0.0,2.8,1.0,11.0,0.0,10.0,0.6,81.0,8.0,19.0,362.0,1250.0,1812.0,5.0,0.0,19.0,1.0,1.0,1.0,2.0,402
$A_{457}$,618.0,0.0,1.1,0.0,11.0,1.0,45.0,0.2,188.0,3.0,20.0,1175.0,1586.0,2339.0,19.0,2.0,10.0,1.0,1.0,0.0,2.0,840
$A_{458}$,561.0,1.0,1.0,0.0,0.0,0.0,11.0,0.1,163.0,8.0,10.0,492.0,1176.0,3421.0,16.0,2.0,5.0,1.0,1.0,1.0,2.0,675
$A_{459}$,1526.0,0.0,2.1,0.0,1.0,1.0,23.0,0.2,117.0,7.0,8.0,718.0,751.0,2227.0,18.0,10.0,3.0,1.0,1.0,0.0,2.0,1017
$A_{460}$,1251.0,0.0,0.5,1.0,10.0,1.0,29.0,0.7,133.0,6.0,16.0,308.0,591.0,1052.0,11.0,9.0,11.0,1.0,0.0,0.0,0.0,863
$A_{461}$,1236.0,1.0,2.8,0.0,6.0,1.0,32.0,0.3,143.0,4.0,18.0,492.0,1403.0,942.0,16.0,12.0,14.0,1.0,1.0,1.0,0.0,38
$A_{462}$,1029.0,1.0,1.9,1.0,5.0,1.0,5.0,0.2,171.0,5.0,8.0,264.0,956.0,582.0,15.0,7.0,4.0,1.0,1.0,1.0,0.0,20
$A_{463}$,1355.0,0.0,2.3,0.0,10.0,1.0,23.0,0.2,132.0,5.0,16.0,651.0,891.0,880.0,19.0,4.0,8.0,1.0,1.0,0.0,0.0,751
$A_{464}$,594.0,0.0,0.8,0.0,2.0,1.0,28.0,0.1,132.0,5.0,3.0,1011.0,1263.0,3087.0,16.0,4.0,4.0,1.0,1.0,1.0,2.0,688
$A_{465}$,852.0,0.0,1.8,1.0,5.0,1.0,8.0,0.8,160.0,5.0,9.0,683.0,1349.0,315.0,7.0,6.0,20.0,1.0,0.0,0.0,0.0,991
$A_{466}$,637.0,0.0,2.3,0.0,3.0,1.0,60.0,0.8,97.0,4.0,4.0,1125.0,1989.0,374.0,18.0,4.0,8.0,1.0,0.0,1.0,0.0,935
$A_{467}$,914.0,1.0,0.9,0.0,2.0,0.0,4.0,0.8,100.0,2.0,12.0,191.0,1495.0,808.0,11.0,7.0,5.0,1.0,1.0,0.0,0.0,1131
$A_{468}$,1289.0,0.0,0.8,1.0,3.0,1.0,16.0,0.9,161.0,6.0,17.0,713.0,1854.0,3167.0,14.0,8.0,20.0,1.0,1.0,0.0,3.0,648
$A_{469}$,601.0,0.0,2.1,0.0,4.0,0.0,26.0,0.3,101.0,4.0,18.0,509.0,548.0,918.0,9.0,1.0,12.0,0.0,0.0,0.0,0.0,1568
$A_{470}$,856.0,1.0,1.1,1.0,14.0,1.0,19.0,0.7,125.0,6.0,19.0,1057.0,1931.0,650.0,17.0,0.0,10.0,1.0,0.0,1.0,0.0,55
$A_{471}$,1677.0,0.0,1.8,1.0,4.0,0.0,11.0,0.7,124.0,6.0,8.0,271.0,1477.0,3771.0,15.0,6.0,12.0,1.0,0.0,0.0,3.0,1481
$A_{472}$,1987.0,1.0,1.9,0.0,0.0,0.0,50.0,0.7,119.0,8.0,18.0,960.0,1925.0,857.0,12.0,4.0,6.0,1.0,1.0,0.0,1.0,902
$A_{473}$,1961.0,1.0,1.5,0.0,10.0,0.0,55.0,0.5,100.0,7.0,20.0,861.0,1888.0,2355.0,14.0,7.0,6.0,1.0,1.0,1.0,3.0,320
$A_{474}$,871.0,0.0,0.6,0.0,2.0,0.0,52.0,0.1,178.0,3.0,3.0,194.0,1437.0,437.0,14.0,7.0,17.0,1.0,0.0,0.0,0.0,1552
$A_{475}$,1349.0,0.0,2.0,1.0,15.0,0.0,62.0,0.3,114.0,5.0,16.0,592.0,772.0,2756.0,11.0,3.0,4.0,1.0,0.0,0.0,2.0,1230
$A_{476}$,1544.0,0.0,2.3,0.0,12.0,1.0,45.0,0.1,113.0,8.0,20.0,236.0,857.0,1300.0,8.0,7.0,18.0,1.0,1.0,0.0,1.0,609
$A_{477}$,947.0,0.0,0.8,1.0,0.0,1.0,22.0,0.1,197.0,2.0,13.0,1176.0,1220.0,2842.0,16.0,12.0,2.0,1.0,0.0,0.0,2.0,1076
$A_{478}$,1836.0,1.0,1.7,1.0,3.0,0.0,26.0,0.1,134.0,6.0,16.0,408.0,1139.0,3097.0,5.0,0.0,18.0,0.0,1.0,0.0,3.0,796
$A_{479}$,1195.0,0.0,2.0,1.0,1.0,1.0,23.0,0.1,82.0,4.0,9.0,163.0,1100.0,980.0,13.0,9.0,17.0,1.0,0.0,0.0,0.0,925
$A_{480}$,1150.0,1.0,2.7,0.0,0.0,0.0,39.0,0.4,151.0,8.0,1.0,397.0,800.0,999.0,6.0,2.0,11.0,1.0,1.0,0.0,0.0,999
$A_{481}$,930.0,0.0,2.1,1.0,0.0,0.0,54.0,0.9,80.0,1.0,13.0,1569.0,1763.0,1743.0,7.0,1.0,9.0,0.0,1.0,0.0,2.0,1319
$A_{482}$,860.0,1.0,1.3,1.0,1.0,1.0,49.0,0.7,141.0,6.0,13.0,692.0,979.0,3869.0,16.0,14.0,20.0,1.0,1.0,1.0,3.0,17
$A_{483}$,1175.0,1.0,1.7,1.0,1.0,1.0,45.0,0.6,167.0,2.0,7.0,90.0,557.0,2240.0,10.0,6.0,5.0,1.0,1.0,0.0,1.0,281
$A_{484}$,1576.0,0.0,2.6,0.0,7.0,0.0,58.0,0.2,90.0,3.0,16.0,400.0,631.0,336.0,14.0,8.0,13.0,1.0,1.0,1.0,0.0,692
$A_{485}$,1387.0,0.0,0.5,0.0,0.0,1.0,61.0,0.5,98.0,3.0,0.0,785.0,1151.0,629.0,5.0,3.0,11.0,1.0,1.0,0.0,0.0,1140
$A_{486}$,1762.0,0.0,0.6,0.0,3.0,1.0,26.0,0.1,83.0,6.0,14.0,525.0,704.0,2661.0,9.0,7.0,4.0,1.0,1.0,0.0,2.0,1039
$A_{487}$,1261.0,1.0,0.5,1.0,0.0,1.0,11.0,0.2,90.0,4.0,0.0,858.0,1591.0,348.0,14.0,9.0,14.0,1.0,0.0,1.0,0.0,180
$A_{488}$,1848.0,0.0,1.3,1.0,7.0,0.0,12.0,0.1,178.0,2.0,19.0,195.0,533.0,3915.0,9.0,7.0,8.0,0.0,0.0,1.0,3.0,1241
$A_{489}$,914.0,1.0,0.5,0.0,0.0,1.0,26.0,0.7,147.0,4.0,0.0,706.0,721.0,1122.0,12.0,9.0,2.0,1.0,1.0,1.0,0.0,276
$A_{490}$,1537.0,1.0,2.5,0.0,4.0,1.0,43.0,0.3,137.0,1.0,5.0,839.0,1131.0,3685.0,18.0,17.0,17.0,1.0,1.0,1.0,3.0,104
$A_{491}$,1081.0,1.0,1.9,1.0,13.0,1.0,42.0,0.1,101.0,7.0,17.0,83.0,816.0,2456.0,7.0,4.0,7.0,1.0,0.0,0.0,1.0,298
$A_{492}$,1581.0,1.0,1.0,0.0,9.0,0.0,41.0,0.4,172.0,4.0,19.0,693.0,850.0,1384.0,19.0,9.0,2.0,0.0,1.0,1.0,1.0,494
$A_{493}$,1296.0,0.0,1.4,1.0,3.0,0.0,11.0,0.2,129.0,7.0,4.0,1222.0,1382.0,2552.0,19.0,8.0,10.0,1.0,1.0,1.0,2.0,507
$A_{494}$,1178.0,0.0,2.2,1.0,6.0,0.0,57.0,0.3,84.0,3.0,17.0,96.0,1352.0,2492.0,16.0,14.0,10.0,1.0,1.0,0.0,2.0,817
$A_{495}$,570.0,1.0,0.5,1.0,2.0,0.0,9.0,0.3,111.0,7.0,5.0,1331.0,1917.0,3663.0,14.0,10.0,14.0,0.0,0.0,0.0,3.0,1246
$A_{496}$,1731.0,1.0,2.3,1.0,18.0,0.0,60.0,0.5,171.0,4.0,20.0,142.0,1039.0,1220.0,9.0,3.0,20.0,0.0,1.0,0.0,1.0,326
$A_{497}$,1567.0,0.0,2.1,1.0,3.0,0.0,22.0,0.8,153.0,3.0,19.0,190.0,1326.0,3991.0,15.0,2.0,10.0,1.0,0.0,0.0,3.0,1492
$A_{498}$,1328.0,1.0,0.5,0.0,5.0,1.0,27.0,0.3,144.0,3.0,18.0,602.0,1156.0,2674.0,7.0,2.0,5.0,1.0,0.0,1.0,2.0,632
$A_{499}$,880.0,0.0,0.5,1.0,1.0,0.0,44.0,0.5,172.0,8.0,15.0,436.0,1302.0,3132.0,8.0,7.0,6.0,0.0,1.0,1.0,2.0,800
$A_{500}$,832.0,0.0,1.6,1.0,1.0,1.0,34.0,0.3,108.0,5.0,5.0,311.0,1294.0,447.0,15.0,13.0,12.0,1.0,1.0,0.0,0.0,478
$A_{501}$,1027.0,1.0,2.2,0.0,0.0,0.0,63.0,0.8,102.0,5.0,4.0,152.0,714.0,1732.0,8.0,5.0,13.0,0.0,1.0,1.0,1.0,806
$A_{502}$,1824.0,1.0,0.8,0.0,4.0,1.0,19.0,0.9,143.0,2.0,5.0,1055.0,1738.0,2381.0,14.0,1.0,5.0,1.0,0.0,0.0,2.0,1253
$A_{503}$,730.0,0.0,1.5,0.0,9.0,0.0,9.0,0.7,122.0,4.0,15.0,1371.0,1677.0,2787.0,10.0,8.0,7.0,1.0,0.0,1.0,2.0,1340
$A_{504}$,668.0,0.0,0.5,1.0,0.0,0.0,3.0,0.1,155.0,5.0,13.0,666.0,1203.0,2746.0,9.0,5.0,8.0,1.0,1.0,1.0,2.0,733
$A_{505}$,1646.0,1.0,2.3,0.0,8.0,1.0,41.0,0.2,185.0,2.0,10.0,1725.0,1932.0,3339.0,18.0,10.0,19.0,1.0,1.0,0.0,3.0,304
$A_{506}$,1035.0,1.0,1.9,1.0,8.0,0.0,11.0,1.0,173.0,6.0,10.0,831.0,1709.0,2002.0,17.0,8.0,5.0,1.0,1.0,0.0,1.0,463
$A_{507}$,897.0,1.0,2.0,0.0,3.0,1.0,2.0,0.6,154.0,8.0,10.0,0.0,994.0,1958.0,7.0,5.0,7.0,1.0,1.0,0.0,1.0,667
$A_{508}$,1790.0,0.0,2.5,1.0,9.0,0.0,2.0,0.1,184.0,1.0,14.0,622.0,792.0,1366.0,7.0,0.0,20.0,1.0,1.0,1.0,1.0,452
$A_{509}$,1524.0,0.0,2.6,1.0,5.0,0.0,57.0,0.5,124.0,2.0,12.0,629.0,635.0,947.0,11.0,4.0,16.0,0.0,1.0,1.0,0.0,540
$A_{510}$,1587.0,1.0,0.5,0.0,0.0,0.0,50.0,0.9,148.0,8.0,15.0,299.0,874.0,461.0,17.0,4.0,4.0,1.0,0.0,1.0,0.0,1007
$A_{511}$,688.0,1.0,1.5,0.0,0.0,0.0,2.0,1.0,89.0,3.0,2.0,271.0,869.0,391.0,5.0,2.0,8.0,1.0,1.0,1.0,0.0,859
$A_{512}$,1571.0,0.0,2.9,0.0,1.0,0.0,30.0,0.9,150.0,7.0,3.0,805.0,956.0,586.0,10.0,9.0,4.0,0.0,1.0,1.0,0.0,1172
$A_{513}$,1429.0,0.0,0.6,0.0,8.0,0.0,42.0,0.9,151.0,5.0,9.0,670.0,1552.0,1817.0,6.0,1.0,16.0,1.0,0.0,0.0,1.0,1556
$A_{514}$,881.0,0.0,1.0,0.0,1.0,0.0,64.0,0.5,160.0,3.0,6.0,115.0,636.0,2110.0,18.0,9.0,6.0,1.0,1.0,1.0,1.0,1061
$A_{515}$,1441.0,0.0,2.1,1.0,11.0,1.0,3.0,0.1,118.0,8.0,17.0,577.0,1071.0,2317.0,16.0,4.0,7.0,1.0,0.0,1.0,2.0,385
$A_{516}$,696.0,0.0,0.5,0.0,6.0,0.0,51.0,0.3,197.0,3.0,8.0,649.0,907.0,2630.0,18.0,8.0,9.0,0.0,0.0,1.0,1.0,1454
$A_{517}$,1893.0,1.0,2.1,1.0,8.0,0.0,63.0,0.2,134.0,2.0,11.0,637.0,763.0,3822.0,14.0,3.0,18.0,0.0,1.0,1.0,3.0,197
$A_{518}$,989.0,1.0,0.7,0.0,13.0,1.0,51.0,0.4,132.0,3.0,15.0,670.0,804.0,2349.0,10.0,1.0,20.0,1.0,0.0,1.0,1.0,330
$A_{519}$,1880.0,1.0,2.0,0.0,11.0,0.0,35.0,0.1,200.0,4.0,14.0,930.0,1983.0,1930.0,17.0,7.0,15.0,0.0,1.0,0.0,2.0,887
$A_{520}$,1799.0,0.0,1.0,0.0,1.0,1.0,30.0,0.6,123.0,3.0,9.0,617.0,1386.0,445.0,10.0,8.0,10.0,1.0,1.0,0.0,0.0,1023
$A_{521}$,1109.0,1.0,2.8,1.0,6.0,0.0,57.0,0.9,151.0,1.0,12.0,124.0,833.0,2785.0,15.0,10.0,16.0,1.0,0.0,0.0,2.0,952
$A_{522}$,1549.0,1.0,1.5,1.0,0.0,1.0,27.0,0.4,113.0,5.0,7.0,632.0,1162.0,436.0,10.0,8.0,11.0,1.0,0.0,0.0,0.0,529
$A_{523}$,774.0,1.0,0.6,1.0,2.0,1.0,8.0,0.4,136.0,1.0,4.0,1713.0,1865.0,2614.0,7.0,0.0,14.0,1.0,1.0,1.0,2.0,62
$A_{524}$,1184.0,0.0,1.5,1.0,1.0,1.0,48.0,0.6,191.0,1.0,6.0,519.0,1577.0,3315.0,17.0,7.0,14.0,1.0,1.0,1.0,3.0,310
$A_{525}$,869.0,1.0,1.0,0.0,7.0,1.0,57.0,0.6,118.0,1.0,15.0,1243.0,1584.0,2727.0,13.0,3.0,8.0,1.0,0.0,0.0,2.0,969
$A_{526}$,544.0,1.0,0.5,1.0,2.0,1.0,7.0,0.2,129.0,5.0,15.0,227.0,610.0,1675.0,13.0,4.0,17.0,1.0,1.0,0.0,0.0,167
$A_{527}$,1627.0,0.0,0.9,1.0,9.0,1.0,32.0,0.1,180.0,6.0,16.0,52.0,1082.0,3206.0,12.0,6.0,16.0,1.0,1.0,0.0,3.0,503
$A_{528}$,904.0,0.0,1.8,0.0,3.0,1.0,35.0,0.4,168.0,3.0,4.0,42.0,507.0,1360.0,15.0,12.0,11.0,1.0,0.0,0.0,0.0,1380
$A_{529}$,1778.0,0.0,0.5,0.0,0.0,1.0,23.0,0.5,101.0,6.0,11.0,1028.0,1445.0,3941.0,19.0,6.0,13.0,1.0,0.0,0.0,3.0,1463
$A_{530}$,1969.0,0.0,1.2,1.0,9.0,0.0,63.0,0.2,132.0,4.0,11.0,390.0,756.0,298.0,10.0,1.0,10.0,1.0,1.0,0.0,0.0,845
$A_{531}$,1425.0,1.0,0.6,0.0,0.0,1.0,33.0,0.5,89.0,3.0,2.0,396.0,1648.0,3771.0,10.0,3.0,9.0,1.0,0.0,1.0,3.0,872
$A_{532}$,1830.0,0.0,0.5,0.0,0.0,0.0,7.0,0.9,191.0,6.0,12.0,460.0,1583.0,2334.0,8.0,7.0,14.0,0.0,1.0,0.0,2.0,1545
$A_{533}$,1825.0,0.0,1.1,1.0,13.0,1.0,17.0,0.1,157.0,4.0,18.0,1621.0,1773.0,3130.0,12.0,4.0,2.0,1.0,0.0,1.0,3.0,399
$A_{534}$,504.0,1.0,1.0,0.0,8.0,0.0,14.0,0.5,189.0,7.0,9.0,881.0,1129.0,1607.0,15.0,0.0,10.0,1.0,1.0,1.0,0.0,432
$A_{535}$,1272.0,1.0,2.5,1.0,0.0,0.0,22.0,0.9,133.0,6.0,8.0,605.0,669.0,2235.0,19.0,4.0,4.0,1.0,0.0,0.0,1.0,1113
$A_{536}$,664.0,0.0,1.2,1.0,0.0,0.0,28.0,0.9,106.0,5.0,5.0,754.0,1497.0,2042.0,17.0,15.0,19.0,1.0,1.0,0.0,1.0,988
$A_{537}$,775.0,1.0,2.6,0.0,0.0,0.0,30.0,0.4,189.0,7.0,10.0,561.0,1510.0,2523.0,17.0,16.0,9.0,1.0,0.0,1.0,2.0,898
$A_{538}$,1974.0,0.0,0.5,1.0,9.0,0.0,10.0,0.8,145.0,6.0,12.0,530.0,1496.0,1433.0,6.0,1.0,17.0,0.0,0.0,0.0,1.0,1505
$A_{539}$,1723.0,1.0,1.0,0.0,1.0,1.0,7.0,0.6,126.0,3.0,17.0,384.0,1361.0,1213.0,5.0,0.0,16.0,1.0,1.0,1.0,1.0,264
$A_{540}$,504.0,0.0,2.8,1.0,0.0,0.0,40.0,0.5,178.0,3.0,0.0,626.0,1195.0,470.0,6.0,0.0,16.0,1.0,0.0,0.0,0.0,1468
$A_{541}$,1936.0,0.0,1.3,0.0,2.0,0.0,44.0,0.1,139.0,3.0,3.0,570.0,1021.0,1400.0,17.0,7.0,3.0,0.0,0.0,1.0,1.0,1506
$A_{542}$,840.0,0.0,0.9,1.0,6.0,0.0,33.0,0.7,150.0,6.0,7.0,1482.0,1591.0,2072.0,10.0,8.0,19.0,0.0,1.0,0.0,2.0,1143
$A_{543}$,805.0,1.0,0.7,0.0,0.0,0.0,64.0,0.1,97.0,4.0,14.0,641.0,704.0,418.0,11.0,6.0,17.0,0.0,1.0,1.0,0.0,561
$A_{544}$,781.0,1.0,1.3,1.0,1.0,0.0,64.0,0.2,88.0,2.0,7.0,368.0,607.0,3862.0,17.0,10.0,9.0,0.0,0.0,0.0,3.0,1272
